adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,p2exp_d,age,input strings,output strings
dear,1,value,0.61,lexical,0.27199484369964555,0.75,0.809216886883661,0.53722204318401545,"[0.75, 0.809216886883661, 0.53722204318401545]",4,"dear little ,","dear little ,"
sharp,2,physical,0.417272727272727,input,-0.0019348597226700459,0.83333333333333337,0.72073524669461464,0.72267010641728469,"[0.16666666666666666, 0.27926475330538536, 0.27732989358271526]",4,"big sharp ,little sharp ,","big sharp ,"
cold,N/A,physical,0.69,N/A,0.0,0.25,0.25,0.25,not in input,4,,"pretty cold ,pretty cold ,"
jolly,17,human,0.675714285714286,input,-0.39759926820379637,0.94521604938271597,0.035057105572969094,0.43265637377676547,"[0.9722222222222222, 0.18723542819928363, 0.65776619993487462]",4,"jolly loud ,jolly good ,jolly good ,jolly big ,jolly nice ,jolly nice ,jolly big ,jolly nice ,jolly nice ,jolly good ,jolly nice ,jolly nice ,jolly long ,jolly tall ,jolly nice ,jolly nice ,jolly long ,","jolly good ,jolly good ,"
open,1,dimension,0.422857142857143,sub,-0.20657428295198199,0.25,0.51595230422172089,0.72252658717370288,"[0.75, 0.48404769577827911, 0.27747341282629712]",4,"open little ,","wide open ,"
tan,N/A,color,0.566,N/A,0.0,0.5,0.5,0.5,not in input,4,,"brown tan ,"
special,1,value,0.68,lexical,0.22431329385168725,0.0625,0.65483197001768378,0.43051867616599654,"[0.25, 0.809216886883661, 0.65613922010957137]",4,"big special ,","special dirty ,special dirty ,"
pink,N/A,color,0.1075,N/A,0.0,0.375,0.375,0.375,not in input,4,,"pink blue ,pink blue ,new pink ,new pink ,"
teeny,8,dimension,0.531818181818182,sub,-0.016936034313753789,0.21964279666040062,0.32185317300112759,0.33878920731488138,"[0.6111111111111112, 0.48397539656846877, 0.44415668501133054]",4,"teeny little ,teeny tiny ,teeny tiny ,teeny tiny ,little teeny ,little teeny ,little teeny ,teeny little ,","teeny little ,little teeny ,little teeny ,little teeny ,teeny little ,"
little,234,dimension,0.413571428571429,lexical,1.8461717516940802e-05,2.5730214458258333e-11,1.8461717516941598e-05,7.9582644155353107e-19,"[0.3425531914893617, 0.48122866894197952, 0.23549488054607509]",4,"small little ,little grey ,small little ,little big ,little tiny ,little tiny ,little tiny ,poor little ,tiny little ,short little ,tiny little ,open little ,sweet little ,sweet little ,nasty little ,nice little ,little tiny ,sweet little ,little glottal ,sweet little ,tiny little ,tiny little ,tiny little ,tiny little ,little red ,little red ,tiny little ,little red ,tiny little ,wrong little ,tiny little ,teeny little ,tiny little ,tiny little ,weensie little ,wrong little ,weensie little ,weensie little ,weensie little ,poor little ,poor little ,little misshapen ,little tiny ,fun little ,fun little ,fun little ,fun little ,fun little ,little tiny ,fun little ,little square ,fun little ,fun little ,nice little ,fun little ,little tiny ,little light ,little tiny ,little fresh ,good little ,little brown ,little sharp ,great little ,nice little ,great little ,great little ,great little ,great little ,great little ,great little ,great little ,soft little ,tiny little ,pretty little ,pretty little ,pretty little ,pretty little ,pretty little ,good little ,good little ,poor little ,good little ,great little ,hungry little ,pretty little ,brown little ,little flat ,little tiny ,little tiny ,good little ,little happy ,tiny little ,cute little ,tiny little ,poor little ,cute little ,nice little ,dear little ,little fluffy ,nice little ,nice little ,small little ,little red ,little red ,little red ,little red ,naughty little ,naughty little ,nice little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,nice little ,little small ,nice little ,little old ,cozy little ,little small ,little old ,nice little ,little teeny ,nice little ,little black ,little black ,little small ,nice little ,little small ,little french ,beautiful little ,little tiny ,little short ,little teeny ,small little ,beautiful little ,little short ,little red ,little red ,little red ,little tiny ,little tiny ,little black ,little chinese ,little green ,nice little ,little black ,cute little ,nice little ,pretty little ,pretty little ,little green ,fun little ,little tawny ,fun little ,cute little ,cute little ,nice little ,happy little ,little red ,nice little ,little back ,nice little ,cute little ,cute little ,cute little ,nice little ,poor little ,little side ,poor little ,poor little ,cute little ,cute little ,nice little ,fun little ,beautiful little ,poor little ,cute little ,nice little ,cute little ,little white ,sweet little ,sweet little ,nice little ,good little ,nice little ,poor little ,beautiful little ,nice little ,nice little ,nice little ,cute little ,beautiful little ,little green ,nice little ,good little ,cute little ,cute little ,little green ,nice little ,naughty little ,cute little ,little green ,nice little ,little wooden ,little red ,poor little ,cute little ,little red ,poor little ,cute little ,cute little ,little tiny ,cute little ,beautiful little ,cute little ,poor little ,cute little ,right little ,right little ,nice little ,poor little ,little tiny ,little fun ,little tiny ,little teeny ,little tiny ,little blue ,little yellow ,little tiny ,little blue ,little blue ,nice little ,teeny little ,","little yellow ,little crisp ,little old ,little old ,little wooden ,little tiny ,little tiny ,little sweet ,little tiny ,little tiny ,little naughty ,poor little ,bad little ,little tiny ,little big ,poor little ,little big ,little big ,little naughty ,good little ,bad little ,bad little ,bad little ,bad little ,poor little ,green little ,green little ,little tiny ,little red ,tiny little ,teeny little ,little cute ,little red ,little cute ,little cute ,little red ,little tiny ,little teeny ,little teeny ,little teeny ,good little ,dear little ,little old ,little tiny ,little short ,little brown ,teeny little ,royal little ,little back ,little orange ,little tiny ,little eensie ,little cute ,little blue ,little blue ,little blue ,little eensie ,bad little ,bad little ,little tiny ,little eensie ,nice little ,little eensie ,cute little ,nice little ,little red ,little red ,little red ,little red ,little red ,little red ,little red ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,"
eensie,N/A,dimension,0.7175,N/A,0.0,0.0625,0.0625,0.0625,not in input,4,,"little eensie ,little eensie ,little eensie ,little eensie ,"
first,1,temporal,0.141818181818182,input,0.022074216535327172,0.0625,0.024732959869904366,0.0026587433345771957,"[0.25, 0.15726716081211731, 0.051563003544956493]",4,"mean first ,","first green ,first black ,"
silly,1,human,0.655,sub,-0.43796326135997421,0.25,0.19046084434418306,0.6284241057041573,"[0.25, 0.19046084434418306, 0.6284241057041573]",4,"pretty silly ,","silly super ,"
itsy,1,dimension,0.656666666666667,input,-0.15372220431840156,0.75,0.48404769577827911,0.63776990009668066,"[0.75, 0.48404769577827911, 0.63776990009668066]",4,"itsy bitsy ,","itsy bitsy ,"
purple,3,color,0.2405,input,0.00030487928685736,0.015625,0.0063525889384838351,0.0060477096516264751,"[0.125, 0.079703130041949011, 0.077767021619877377]",4,"short purple ,big purple ,blue purple ,","purple white ,purple white ,"
royal,1,human,0.4925,sub,-0.13834147798503393,0.375,0.30837102223176788,0.44671250021680181,"[0.75, 0.19046084434418306, 0.33677086690299712]",4,"royal old ,","nice royal ,royal little ,"
slick,N/A,physical,0.629090909090909,N/A,0.0,0.5,0.5,0.5,not in input,4,,"slick quick ,"
long,29,dimension,0.556428571428571,input,-0.0017614085653735317,0.069588526648954291,0.005044871948209774,0.0068062805135833057,"[0.2833333333333333, 0.48375451263537905, 0.46406301279947487]",4,"big long ,big long ,big long ,big long ,long thin ,big long ,big long ,awful long ,long grey ,pretty long ,big long ,long dark ,big long ,long green ,long green ,long green ,big long ,pretty long ,large long ,large long ,big long ,long beautiful ,big long ,nice long ,awful long ,jolly long ,long thin ,jolly long ,big long ,","big long ,big long ,big long ,big long ,big long ,big long ,big long ,big long ,"
next,1,temporal,0.281,sub,-0.10520512360612,0.5625,0.71019863824566976,0.81540376185178975,"[0.25, 0.15726716081211731, 0.097002900418949406]",4,"back next ,","live next ,sorry next ,"
late,8,temporal,0.422307692307692,input,-0.1207510521204273,0.83333333333333337,0.1557138232437682,0.27646487536419551,"[0.8333333333333334, 0.1557138232437682, 0.27646487536419551]",4,"late last ,late last ,late last ,pretty late ,late last ,late last ,late last ,late last ,","late last ,"
live,1,human,0.174615384615385,input,0.13019658395101516,0.25,0.19046084434418306,0.060264260393167901,"[0.25, 0.19046084434418306, 0.060264260393167901]",4,"beautiful live ,","live next ,"
strange,1,value,0.757777777777778,lexical,0.088301643570737998,0.75,0.809216886883661,0.720915243312923,"[0.75, 0.809216886883661, 0.720915243312923]",4,"strange new ,","strange ugly ,"
black,7,color,0.269,input,0.018048329798607265,0.7724761962890625,0.72071559514431793,0.70266726534571067,"[0.0625, 0.078615334843092854, 0.084438692979618243]",4,"small black ,small black ,cool black ,little black ,little black ,little black ,little black ,","big black ,tiny black ,first black ,tiny black ,"
pretty,60,value,0.863333333333333,input,-0.2111103745061409,0.84587097760981056,0.45530720361279808,0.66641757811893898,"[0.9590163934426229, 0.82144053601340028, 0.9035175879396985]",4,"pretty big ,pretty big ,pretty small ,pretty good ,pretty big ,pretty good ,pretty good ,pretty small ,pretty good ,pretty bad ,pretty bad ,pretty smart ,pretty cool ,pretty new ,pretty new ,pretty new ,pretty good ,pretty late ,pretty big ,pretty long ,pretty good ,pretty good ,pretty good ,pretty big ,pretty big ,pretty silly ,pretty big ,pretty big ,pretty little ,pretty little ,pretty little ,pretty little ,pretty little ,pretty little ,pretty big ,pretty long ,pretty heavy ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty heavy ,pretty good ,nice pretty ,pretty good ,pretty good ,pretty good ,nice pretty ,pretty good ,pretty good ,pretty little ,pretty little ,pretty good ,pretty good ,pretty good ,pretty fun ,pretty fancy ,pretty nice ,","pretty good ,pretty big ,pretty cold ,pretty cold ,"
orange,5,color,0.301538461538462,input,-0.044972401774156012,0.4253472222222221,0.20137015253258964,0.24634255430674565,"[0.4166666666666667, 0.079159935379644594, 0.10177705977382875]",4,"fresh orange ,big orange ,big orange ,orange green ,orange green ,","orange light ,blue orange ,little orange ,"
new,7,age,0.265,lexical,0.099716295783102538,0.010986328125,0.1190145052807879,0.019298209497685358,"[0.0625, 0.22646392753154318, 0.083791653186670978]",4,"great new ,beautiful new ,pretty new ,pretty new ,pretty new ,strange new ,chinese new ,","happy new ,new pink ,new pink ,"
white,5,color,0.281428571428571,lexical,0.05823746616825598,0.64722784850823034,0.66209610538785557,0.60385863921959959,"[0.08333333333333333, 0.079159935379644594, 0.095961227786752826]",4,"soft white ,soft white ,little white ,soft white ,big white ,","purple white ,purple white ,great white ,great white ,green white ,"
east,2,location,0.202222222222222,sub,-0.097710415994840316,0.83333333333333337,0.83005482102547568,0.92776523702031599,"[0.16666666666666666, 0.16994517897452435, 0.072234762979683967]",4,"english east ,english east ,","big east ,"
red,33,color,0.174166666666667,input,0.044400825235065361,0.21602951369937232,0.08775347932320518,0.043352654088139819,"[0.1323529411764706, 0.071405067456400129, 0.051003619611714381]",4,"little red ,little red ,little red ,soft red ,soft red ,soft red ,soft red ,red ripe ,soft red ,soft red ,soft red ,soft red ,big red ,big red ,red wild ,little red ,big red ,little red ,little red ,little red ,big red ,red light ,red light ,big red ,little red ,little red ,little red ,big red ,little red ,big red ,little red ,little red ,big red ,","blue red ,blue red ,big red ,big red ,little red ,little red ,little red ,red blue ,red yellow ,red light ,little red ,little red ,little red ,little red ,little red ,little red ,little red ,"
nice,164,value,0.725833333333333,input,0.21073740517744538,0.35985856828453316,0.2926894034995382,0.081951998322092823,"[0.9424242424242424, 0.84551674468851279, 0.7115592365862442]",4,"nice cool ,nice cool ,nice fresh ,nice little ,nice soft ,nice thick ,nice clean ,nice little ,nice clean ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice little ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice soft ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice little ,nice little ,nice little ,nice little ,nice little ,nice little ,nice pretty ,nice long ,nice pretty ,nice little ,nice little ,nice little ,nice cool ,nice gentle ,nice quiet ,nice little ,nice delicious ,nice slow ,nice little ,nice fresh ,nice little ,nice little ,nice little ,nice little ,nice clean ,nice warm ,nice warm ,nice little ,nice big ,nice big ,nice big ,jolly nice ,jolly nice ,nice warm ,nice warm ,nice warm ,nice fluffy ,nice little ,nice fluffy ,jolly nice ,nice little ,nice warm ,nice little ,nice little ,nice warm ,nice warm ,nice little ,nice little ,jolly nice ,nice warm ,nice smart ,jolly nice ,nice warm ,nice little ,jolly nice ,nice warm ,nice little ,nice little ,nice warm ,jolly nice ,nice warm ,jolly nice ,nice little ,pretty nice ,nice little ,","nice green ,nice bright ,nice bright ,nice good ,nice royal ,big nice ,nice sweet ,nice sweet ,nice little ,nice sweet ,nice sweet ,nice little ,"
poor,26,value,0.53,input,0.45268002513595851,0.94546690037087855,0.53991197498804921,0.087231949852090734,"[0.9814814814814815, 0.81428103504749427, 0.44349819849328531]",4,"poor little ,poor little ,poor little ,poor young ,poor young ,poor young ,poor young ,poor young ,poor young ,poor young ,poor little ,poor young ,poor young ,poor little ,poor old ,poor old ,poor little ,poor little ,poor little ,poor little ,poor little ,poor old ,poor little ,poor little ,poor little ,poor little ,","poor little ,poor little ,poor little ,"
brown,17,color,0.29875,sub,-0.017955069351751098,0.03501157407407407,0.029496372480389374,0.047451441832140472,"[0.08333333333333333, 0.075871051774666229, 0.098664929990231201]",4,"short brown ,small brown ,small brown ,small brown ,big brown ,big brown ,little brown ,awful brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,brown little ,big brown ,big brown ,","brown tan ,brown grey ,big brown ,little brown ,"
scary,1,value,0.723333333333333,input,-0.12310667096358363,0.75,0.190783113116339,0.31388978407992263,"[0.25, 0.809216886883661, 0.68611021592007737]",4,"top scary ,","big scary ,"
good,44,value,0.78125,input,-0.031758121170997959,0.24047411725061937,0.034368894095556955,0.066127015266554914,"[0.4111111111111111, 0.81803115677825655, 0.77328471992045078]",4,"pretty good ,good sad ,pretty good ,pretty good ,pretty good ,good smart ,good big ,pretty good ,good last ,pretty good ,pretty good ,pretty good ,good little ,good little ,good little ,good little ,good little ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,good hot ,good hot ,good hot ,good hot ,good hot ,good hot ,pretty good ,jolly good ,jolly good ,good little ,pretty good ,pretty good ,pretty good ,jolly good ,good little ,good last ,","nice good ,good little ,pretty good ,good big ,good little ,good old ,jolly good ,jolly good ,"
huge,6,dimension,0.624285714285714,input,0.067571936631102503,0.64285714285714279,0.51600387972841899,0.44843194309731649,"[0.35714285714285715, 0.48399612027158101, 0.55156805690268351]",4,"big huge ,big huge ,big huge ,big huge ,huge silver ,huge back ,","big huge ,"
big,148,dimension,0.691666666666667,sub,-0.011130459090937413,0.0074898591197616127,2.347776284244293e-09,0.011130461438713697,"[0.6879194630872483, 0.48237807048771802, 0.69740121039515846]",4,"pretty big ,pretty big ,big wooden ,little big ,big long ,pretty big ,big long ,big long ,big heavy ,great big ,big long ,big sharp ,big huge ,big bad ,big long ,beautiful big ,big yucky ,big old ,great big ,big long ,big loud ,big loud ,big blue ,big blue ,good big ,big wide ,big round ,big wide ,great big ,great big ,great big ,great big ,big happy ,big fat ,great big ,great big ,great big ,pretty big ,big hollow ,big beautiful ,big long ,big old ,big bad ,big round ,big beautiful ,big long ,great big ,big brown ,big huge ,big strong ,big strong ,great big ,big brown ,pretty big ,big tall ,big tall ,pretty big ,big huge ,great big ,big beautiful ,big brown ,big brown ,big brown ,big brown ,big blue ,big huge ,big fat ,pretty big ,pretty big ,big brown ,big brown ,great big ,big green ,big beautiful ,great big ,big beautiful ,big long ,pretty big ,great big ,big blue ,big brown ,big brown ,big red ,big red ,big long ,big bright ,big red ,big front ,big strong ,big old ,big bad ,great big ,great big ,big fat ,big old ,big long ,big red ,big fat ,big bad ,big bright ,big red ,big fantastic ,great big ,great big ,big red ,great big ,great big ,awful big ,great big ,big yellow ,big orange ,big orange ,big special ,big green ,big dead ,big hard ,big flat ,jolly big ,nice big ,nice big ,nice big ,jolly big ,big red ,big heavy ,big fluffy ,beautiful big ,big tall ,big old ,big fluffy ,big white ,great big ,big purple ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big blue ,big blue ,big yellow ,big red ,great big ,great big ,great big ,big yellow ,big long ,great big ,big fun ,big fun ,","big old ,big bad ,big bad ,big bad ,wicked big ,big long ,big long ,big long ,big bad ,big round ,big black ,big bad ,big sharp ,great big ,little big ,great big ,big old ,little big ,little big ,big happy ,big happy ,big fat ,big fat ,big brown ,big bad ,big red ,big red ,good big ,big bad ,great big ,big huge ,big old ,big hot ,big old ,pretty big ,big long ,soft big ,great big ,giant big ,big strong ,big long ,big strong ,big dirty ,big long ,big long ,big scary ,big long ,big fat ,big old ,big nice ,big old ,great big ,big tall ,big giant ,great big ,great big ,big strong ,big strong ,big ugly ,big strong ,big strong ,big strong ,big strong ,big strong ,big strong ,big strong ,big fat ,big strong ,big strong ,big bad ,big old ,big strong ,big fat ,great big ,big old ,big strong ,big fat ,big old ,big french ,big east ,big tall ,"
blue,11,color,0.346666666666667,sub,-0.19490549181191608,0.18698627472995821,0.024115086203139853,0.21902057801505592,"[0.20833333333333334, 0.077521894258838792, 0.23548491728835549]",4,"big blue ,big blue ,blue just ,big blue ,big blue ,big blue ,big blue ,blue purple ,little blue ,little blue ,little blue ,","blue red ,blue red ,red blue ,blue orange ,pink blue ,pink blue ,little blue ,little blue ,little blue ,"
giant,N/A,dimension,0.622222222222222,N/A,0.0,0.5,0.5,0.5,not in input,4,,"giant big ,big giant ,"
fat,4,dimension,0.619375,input,0.0060130220092938997,0.47829690000000008,0.0097375340059059848,0.0037245119966120852,"[0.1, 0.48401679044236356, 0.55020988052954467]",4,"big fat ,big fat ,big fat ,big fat ,","big fat ,big fat ,big fat ,big fat ,big fat ,old fat ,big fat ,"
quick,N/A,speed,0.561111111111111,N/A,0.0,0.5,0.5,0.5,not in input,4,,"slick quick ,"
bitsy,1,dimension,0.66,input,0.15468901063486951,0.75,0.51595230422172089,0.36126329358685139,"[0.25, 0.48404769577827911, 0.63873670641314861]",4,"itsy bitsy ,","itsy bitsy ,"
mad,N/A,human,0.554285714285714,N/A,0.0,0.25,0.25,0.25,not in input,4,,"mad fun ,mad fun ,"
awful,7,value,0.641666666666667,input,0.19120025881591718,0.9375,0.81041734066645099,0.61921708185053381,"[0.9375, 0.81041734066645099, 0.61921708185053381]",4,"awful long ,awful brown ,awful bad ,awful bad ,awful long ,awful big ,awful hard ,","awful bad ,"
last,13,temporal,0.39,input,0.10133160116921092,0.9642857142857143,0.84540435206235798,0.74407275089314706,"[0.03571428571428571, 0.15459564793764208, 0.25592724910685288]",4,"wrong last ,late last ,late last ,late last ,good last ,late last ,late last ,late last ,late last ,young last ,young last ,young last ,good last ,","late last ,"
strong,3,physical,0.64375,input,0.0073772298993009721,0.13493381373857005,0.0073777492070709215,5.1930776994954063e-07,"[0.125, 0.27912229751532752, 0.61890932558889966]",4,"big strong ,big strong ,big strong ,","big strong ,big strong ,big strong ,big strong ,big strong ,big strong ,big strong ,big strong ,big strong ,big strong ,big strong ,big strong ,big strong ,big strong ,big strong ,"
super,2,value,0.770833333333333,sub,-0.064495324089003492,0.16666666666666663,0.19058368268300552,0.25507900677200901,"[0.8333333333333334, 0.80941631731699448, 0.74492099322799099]",4,"super fun ,super fun ,","silly super ,"
sorry,N/A,human,0.68,N/A,0.0,0.5,0.5,0.5,not in input,4,,"sorry next ,"
dead,1,human,0.14,sub,-0.14018691588785048,0.75,0.80953915565581691,0.94972607154366739,"[0.25, 0.19046084434418306, 0.050273928456332578]",4,"big dead ,","just dead ,"
cool,6,physical,0.678125,sub,-0.37795021015195601,0.35714285714285715,0.27869382476559973,0.65664403491755574,"[0.35714285714285715, 0.27869382476559973, 0.65664403491755574]",4,"nice cool ,cool alright ,nice cool ,pretty cool ,cool black ,nice cool ,","cool hot ,"
wide,2,dimension,0.443,lexical,0.19219606578523057,0.16666666666666666,0.48403740728797162,0.29184134150274105,"[0.16666666666666666, 0.48403740728797162, 0.29184134150274105]",4,"big wide ,big wide ,","wide open ,"
great,46,value,0.838,input,-0.19413136773288964,0.57892396841415417,0.13487746841632209,0.32900883614921173,"[0.9468085106382979, 0.81845336873547958, 0.89478924659807502]",4,"alright great ,alright great ,great new ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great little ,great big ,great little ,great little ,great little ,great loud ,great loud ,great little ,great little ,great loud ,great little ,great little ,great loud ,great loud ,great loud ,great big ,great little ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great round ,great big ,great big ,great big ,great big ,","great big ,great big ,great big ,great white ,great white ,great big ,great big ,great big ,great big ,great big ,"
short,5,dimension,0.54,sub,-0.038126009693053242,0.41666666666666663,0.51599353796445879,0.55411954765751203,"[0.5833333333333334, 0.48400646203554121, 0.44588045234248791]",4,"short purple ,short little ,short brown ,little short ,little short ,","little short ,"
crisp,N/A,physical,0.614285714285714,N/A,0.0,0.5,0.5,0.5,not in input,4,,"little crisp ,"
wooden,2,material,0.255454545454545,lexical,0.078039342147694257,0.83333333333333337,0.99290551435020957,0.91486617220251532,"[0.16666666666666666, 0.0070944856497903901, 0.085133827797484685]",4,"big wooden ,little wooden ,","little wooden ,"
light,3,physical,0.562,sub,-0.15346891897123766,0.010017752647399902,0.11474203158146427,0.26821095055270194,"[0.125, 0.27912229751532752, 0.46531139077121653]",4,"little light ,red light ,red light ,","light green ,orange light ,red light ,light green ,light green ,light green ,green light ,green light ,"
grey,4,color,0.2810714285714285,lexical,0.072487959569765781,0.38742048900000009,0.47479278152890914,0.40230482195914335,"[0.1, 0.079431708104617374, 0.096222150468195031]",4,"little grey ,long grey ,soft grey ,old grey ,","brown grey ,old grey ,old grey ,old grey ,old grey ,old grey ,stupid grey ,old grey ,old grey ,"
hot,9,physical,0.403,input,-0.01934788446360991,0.72249999999999992,0.52090330633001358,0.54025119079362349,"[0.15, 0.27826368642695171, 0.26498218334953028]",4,"beautiful hot ,regular hot ,good hot ,good hot ,good hot ,good hot ,hot english ,good hot ,good hot ,","big hot ,cool hot ,"
french,2,nationality,0.278888888888889,lexical,0.093840696549500113,0.83333333333333337,0.99709771041599482,0.90325701386649471,"[0.16666666666666666, 0.0029022895840051595, 0.096742986133505321]",4,"beautiful french ,little french ,","big french ,"
ugly,N/A,value,0.729166666666667,N/A,0.0,0.25,0.25,0.25,not in input,4,,"strange ugly ,big ugly ,"
bad,8,value,0.71625,sub,-0.023598247797042608,1.1171364833800201e-05,0.00082448461895393607,0.024422732415996545,"[0.05555555555555555, 0.81061832308190351, 0.68565878925218515]",4,"pretty bad ,big bad ,pretty bad ,big bad ,awful bad ,awful bad ,big bad ,big bad ,","big bad ,big bad ,big bad ,awful bad ,big bad ,big bad ,bad little ,bad little ,bad little ,bad little ,bad little ,big bad ,big bad ,big bad ,bad little ,bad little ,"
stupid,N/A,human,0.6575,N/A,0.0,0.25,0.25,0.25,not in input,4,,"stupid old ,stupid grey ,"
